district_id,week_tir,place4,place2,district,name,region,business_type
964,0,964,1,zahed-gilani,Ø²Ø§Ù‡Ø¯ Ú¯ÛŒÙ„Ø§Ù†ÛŒ,13,1
964,1,964,1,zahed-gilani,Ø²Ø§Ù‡Ø¯ Ú¯ÛŒÙ„Ø§Ù†ÛŒ,13,1
964,2,964,1,zahed-gilani,Ø²Ø§Ù‡Ø¯ Ú¯ÛŒÙ„Ø§Ù†ÛŒ,13,1
65,0,65,1,qeytariyeh,Ù‚ÛŒØ·Ø±ÛŒÙ‡,1,1
65,1,65,1,qeytariyeh,Ù‚ÛŒØ·Ø±ÛŒÙ‡,1,1
65,2,65,1,qeytariyeh,Ù‚ÛŒØ·Ø±ÛŒÙ‡,1,1
191,0,191,1,ebrahim-abad,Ø§Ø¨Ø±Ø§Ù‡ÛŒÙ…â€ŒØ¢Ø¨Ø§Ø¯,18,1
191,1,191,1,ebrahim-abad,Ø§Ø¨Ø±Ø§Ù‡ÛŒÙ…â€ŒØ¢Ø¨Ø§Ø¯,18,1
191,2,191,1,ebrahim-abad,Ø§Ø¨Ø±Ø§Ù‡ÛŒÙ…â€ŒØ¢Ø¨Ø§Ø¯,18,1
418,0,418,1,roodehen,Ø±ÙˆØ¯Ù‡Ù†,,1
418,1,418,1,roodehen,Ø±ÙˆØ¯Ù‡Ù†,,1
418,2,418,1,roodehen,Ø±ÙˆØ¯Ù‡Ù†,,1
1010,0,1010,1,moqadam,Ù…Ù‚Ø¯Ù…,17,1
1010,1,1010,1,moqadam,Ù…Ù‚Ø¯Ù…,17,1
1010,2,1010,1,moqadam,Ù…Ù‚Ø¯Ù…,17,1
270,0,270,1,hashem-abad,Ù‡Ø§Ø´Ù…â€ŒØ¢Ø¨Ø§Ø¯,15,1
270,1,270,1,hashem-abad,Ù‡Ø§Ø´Ù…â€ŒØ¢Ø¨Ø§Ø¯,15,1
270,2,270,1,hashem-abad,Ù‡Ø§Ø´Ù…â€ŒØ¢Ø¨Ø§Ø¯,15,1
938,0,938,1,bahar,Ø¨Ù‡Ø§Ø±,7,1
938,1,938,1,bahar,Ø¨Ù‡Ø§Ø±,7,1
938,2,938,1,bahar,Ø¨Ù‡Ø§Ø±,7,1
243,0,243,1,moshiriyeh,Ù…Ø´ÛŒØ±ÛŒÙ‡,15,1
243,1,243,1,moshiriyeh,Ù…Ø´ÛŒØ±ÛŒÙ‡,15,1
243,2,243,1,moshiriyeh,Ù…Ø´ÛŒØ±ÛŒÙ‡,15,1
278,0,278,1,moniriyeh,Ù…Ù†ÛŒØ±ÛŒÙ‡,11,1
278,1,278,1,moniriyeh,Ù…Ù†ÛŒØ±ÛŒÙ‡,11,1
278,2,278,1,moniriyeh,Ù…Ù†ÛŒØ±ÛŒÙ‡,11,1
54,0,54,1,darband,Ø¯Ø±Ø¨Ù†Ø¯,1,1
54,1,54,1,darband,Ø¯Ø±Ø¨Ù†Ø¯,1,1
54,2,54,1,darband,Ø¯Ø±Ø¨Ù†Ø¯,1,1
926,0,926,1,sepehr,Ø³Ù¾Ù‡Ø±,2,1
926,1,926,1,sepehr,Ø³Ù¾Ù‡Ø±,2,1
926,2,926,1,sepehr,Ø³Ù¾Ù‡Ø±,2,1
965,0,965,1,parastar,Ù¾Ø±Ø³ØªØ§Ø±,14,1
965,1,965,1,parastar,Ù¾Ø±Ø³ØªØ§Ø±,14,1
965,2,965,1,parastar,Ù¾Ø±Ø³ØªØ§Ø±,14,1
277,0,277,1,amiriyeh,Ø§Ù…ÛŒØ±ÛŒÙ‡,11,1
277,1,277,1,amiriyeh,Ø§Ù…ÛŒØ±ÛŒÙ‡,11,1
277,2,277,1,amiriyeh,Ø§Ù…ÛŒØ±ÛŒÙ‡,11,1
287,0,287,1,emam-hossein,Ø§Ù…Ø§Ù… Ø­Ø³ÛŒÙ†(Ø¹),7,1
287,1,287,1,emam-hossein,Ø§Ù…Ø§Ù… Ø­Ø³ÛŒÙ†(Ø¹),7,1
287,2,287,1,emam-hossein,Ø§Ù…Ø§Ù… Ø­Ø³ÛŒÙ†(Ø¹),7,1
656,0,656,1,shadman,Ø´Ø§Ø¯Ù…Ù‡Ø±,2,1
656,1,656,1,shadman,Ø´Ø§Ø¯Ù…Ù‡Ø±,2,1
656,2,656,1,shadman,Ø´Ø§Ø¯Ù…Ù‡Ø±,2,1
112,0,112,1,estakhr,Ø§Ø³ØªØ®Ø±,4,1
112,1,112,1,estakhr,Ø§Ø³ØªØ®Ø±,4,1
112,2,112,1,estakhr,Ø§Ø³ØªØ®Ø±,4,1
113,0,113,1,shahrak-e-omid,Ø´Ù‡Ø±Ú© Ø§Ù…ÛŒØ¯,4,1
113,1,113,1,shahrak-e-omid,Ø´Ù‡Ø±Ú© Ø§Ù…ÛŒØ¯,4,1
113,2,113,1,shahrak-e-omid,Ø´Ù‡Ø±Ú© Ø§Ù…ÛŒØ¯,4,1
155,0,155,1,shahr-e-ziba,Ø´Ù‡Ø± Ø²ÛŒØ¨Ø§,5,1
155,1,155,1,shahr-e-ziba,Ø´Ù‡Ø± Ø²ÛŒØ¨Ø§,5,1
155,2,155,1,shahr-e-ziba,Ø´Ù‡Ø± Ø²ÛŒØ¨Ø§,5,1
167,0,167,1,ekbatan,Ø§Ú©Ø¨Ø§ØªØ§Ù†,5,1
167,1,167,1,ekbatan,Ø§Ú©Ø¨Ø§ØªØ§Ù†,5,1
167,2,167,1,ekbatan,Ø§Ú©Ø¨Ø§ØªØ§Ù†,5,1
299,0,299,1,motahari,Ø³Ù†Ø§ÛŒÛŒ,,1
299,1,299,1,motahari,Ø³Ù†Ø§ÛŒÛŒ,,1
299,2,299,1,motahari,Ø³Ù†Ø§ÛŒÛŒ,,1
241,0,241,1,shahrak-e-kianshahr,Ø´Ù‡Ø±Ú© Ú©ÛŒØ§Ù†Ø´Ù‡Ø±,15,1
241,1,241,1,shahrak-e-kianshahr,Ø´Ù‡Ø±Ú© Ú©ÛŒØ§Ù†Ø´Ù‡Ø±,15,1
241,2,241,1,shahrak-e-kianshahr,Ø´Ù‡Ø±Ú© Ú©ÛŒØ§Ù†Ø´Ù‡Ø±,15,1
198,0,198,1,azari,Ø¢Ø°Ø±ÛŒ,17,1
198,1,198,1,azari,Ø¢Ø°Ø±ÛŒ,17,1
198,2,198,1,azari,Ø¢Ø°Ø±ÛŒ,17,1
130,0,130,1,heshamatiyeh,Ø­Ø´Ù…ØªÛŒÙ‡,7,1
130,1,130,1,heshamatiyeh,Ø­Ø´Ù…ØªÛŒÙ‡,7,1
130,2,130,1,heshamatiyeh,Ø­Ø´Ù…ØªÛŒÙ‡,7,1
196,0,196,1,jey,Ø¬ÛŒ,9,1
196,1,196,1,jey,Ø¬ÛŒ,9,1
196,2,196,1,jey,Ø¬ÛŒ,9,1
427,0,427,1,parand,Ù¾Ø±Ù†Ø¯,,1
427,1,427,1,parand,Ù¾Ø±Ù†Ø¯,,1
427,2,427,1,parand,Ù¾Ø±Ù†Ø¯,,1
932,0,932,1,shahrak-valfajr,Ø´Ù‡Ø±Ú© ÙˆØ§Ù„ÙØ¬Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û¶),6,1
932,1,932,1,shahrak-valfajr,Ø´Ù‡Ø±Ú© ÙˆØ§Ù„ÙØ¬Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û¶),6,1
932,2,932,1,shahrak-valfajr,Ø´Ù‡Ø±Ú© ÙˆØ§Ù„ÙØ¬Ø± (Ù…Ù†Ø·Ù‚Ù‡ Û¶),6,1
184,0,184,1,kooye-e-hefdahom-e-shahrivar,Ú©ÙˆÛŒ Ù‡ÙØ¯Ù‡Ù… Ø´Ù‡Ø±ÛŒÙˆØ±,18,1
184,1,184,1,kooye-e-hefdahom-e-shahrivar,Ú©ÙˆÛŒ Ù‡ÙØ¯Ù‡Ù… Ø´Ù‡Ø±ÛŒÙˆØ±,18,1
184,2,184,1,kooye-e-hefdahom-e-shahrivar,Ú©ÙˆÛŒ Ù‡ÙØ¯Ù‡Ù… Ø´Ù‡Ø±ÛŒÙˆØ±,18,1
939,0,939,1,niloufar,Ù†ÛŒÙ„ÙˆÙØ±,7,1
939,1,939,1,niloufar,Ù†ÛŒÙ„ÙˆÙØ±,7,1
939,2,939,1,niloufar,Ù†ÛŒÙ„ÙˆÙØ±,7,1
188,0,188,1,khalij-e-fars,Ø®Ù„ÛŒØ¬ ÙØ§Ø±Ø³,18,1
188,1,188,1,khalij-e-fars,Ø®Ù„ÛŒØ¬ ÙØ§Ø±Ø³,18,1
188,2,188,1,khalij-e-fars,Ø®Ù„ÛŒØ¬ ÙØ§Ø±Ø³,18,1
399,0,399,1,narmak,Ù†Ø§Ø±Ù…Ú©,8,1
399,1,399,1,narmak,Ù†Ø§Ø±Ù…Ú©,8,1
399,2,399,1,narmak,Ù†Ø§Ø±Ù…Ú©,8,1
126,0,126,1,majidiyeh,Ù…Ø¬ÛŒØ¯ÛŒÙ‡,8,1
126,1,126,1,majidiyeh,Ù…Ø¬ÛŒØ¯ÛŒÙ‡,8,1
126,2,126,1,majidiyeh,Ù…Ø¬ÛŒØ¯ÛŒÙ‡,8,1
202,0,202,1,sharara,Ø´Ù‡Ø±Ø¢Ø±Ø§,2,1
202,1,202,1,sharara,Ø´Ù‡Ø±Ø¢Ø±Ø§,2,1
202,2,202,1,sharara,Ø´Ù‡Ø±Ø¢Ø±Ø§,2,1
228,0,228,1,south-deylaman,Ø¯ÛŒÙ„Ù…Ø§Ù†,20,1
228,1,228,1,south-deylaman,Ø¯ÛŒÙ„Ù…Ø§Ù†,20,1
228,2,228,1,south-deylaman,Ø¯ÛŒÙ„Ù…Ø§Ù†,20,1
262,0,262,1,nemat-abad,Ù†Ø¹Ù…Øªâ€ŒØ¢Ø¨Ø§Ø¯,19,1
262,1,262,1,nemat-abad,Ù†Ø¹Ù…Øªâ€ŒØ¢Ø¨Ø§Ø¯,19,1
262,2,262,1,nemat-abad,Ù†Ø¹Ù…Øªâ€ŒØ¢Ø¨Ø§Ø¯,19,1
998,0,998,1,qalamestan,Ù‚Ù„Ù…Ø³ØªØ§Ù†,11,1
998,1,998,1,qalamestan,Ù‚Ù„Ù…Ø³ØªØ§Ù†,11,1
998,2,998,1,qalamestan,Ù‚Ù„Ù…Ø³ØªØ§Ù†,11,1
50,0,50,1,shahrak-golha,Ø´Ù‡Ø±Ú© Ú¯Ù„Ù‡Ø§,1,1
50,1,50,1,shahrak-golha,Ø´Ù‡Ø±Ú© Ú¯Ù„Ù‡Ø§,1,1
50,2,50,1,shahrak-golha,Ø´Ù‡Ø±Ú© Ú¯Ù„Ù‡Ø§,1,1
94,0,94,1,jomhouri,Ø¬Ù…Ù‡ÙˆØ±ÛŒ,11,1
94,1,94,1,jomhouri,Ø¬Ù…Ù‡ÙˆØ±ÛŒ,11,1
94,2,94,1,jomhouri,Ø¬Ù…Ù‡ÙˆØ±ÛŒ,11,1
421,0,421,1,lavasan,Ù„ÙˆØ§Ø³Ø§Ù†,,1
421,1,421,1,lavasan,Ù„ÙˆØ§Ø³Ø§Ù†,,1
421,2,421,1,lavasan,Ù„ÙˆØ§Ø³Ø§Ù†,,1
264,0,264,1,baq-e-azari,Ø¨Ø§Øº Ø¢Ø°Ø±ÛŒ,16,1
264,1,264,1,baq-e-azari,Ø¨Ø§Øº Ø¢Ø°Ø±ÛŒ,16,1
264,2,264,1,baq-e-azari,Ø¨Ø§Øº Ø¢Ø°Ø±ÛŒ,16,1
638,0,638,1,pakdasht,Ù¾Ø§Ú©Ø¯Ø´Øª,,1
638,1,638,1,pakdasht,Ù¾Ø§Ú©Ø¯Ø´Øª,,1
