district_id,total_post,total_users,Groups,district,region,districts_count
964,99,89,2,zahed-gilani,13,133
65,1407,860,1,qeytariyeh,1,86
191,98,96,3,ebrahim-abad,18,130
1010,47,42,3,moqadam,17,130
270,256,232,3,hashem-abad,15,130
293,4,4,3,qasr-e-firoozeh-yek,14,130
938,403,300,2,bahar,7,133
243,711,619,3,moshiriyeh,15,130
278,556,453,3,moniriyeh,11,130
54,174,147,1,darband,1,86
926,84,73,1,sepehr,2,86
965,347,267,3,parastar,14,130
277,699,532,3,amiriyeh,11,130
287,440,389,2,emam-hossein,7,133
656,272,205,1,shadman,2,86
112,488,390,2,estakhr,4,133
113,30,26,2,shahrak-e-omid,4,133
155,997,553,2,shahr-e-ziba,5,133
167,595,389,2,ekbatan,5,133
241,682,520,3,shahrak-e-kianshahr,15,130
198,446,414,3,azari,17,130
130,242,194,2,heshamatiyeh,7,133
196,612,500,2,jey,9,133
932,25,24,1,shahrak-valfajr,6,86
184,130,115,3,kooye-e-hefdahom-e-shahrivar,18,130
939,172,136,2,niloufar,7,133
188,769,666,3,khalij-e-fars,18,130
399,3216,1917,2,narmak,8,133
126,1045,850,2,majidiyeh,8,133
202,220,178,1,sharara,2,86
228,415,263,3,south-deylaman,20,130
262,366,356,3,nemat-abad,19,130
998,54,51,3,qalamestan,11,130
50,29,26,1,shahrak-golha,1,86
94,644,515,3,jomhouri,11,130
264,53,52,3,baq-e-azari,16,130
961,134,124,2,qasemabad,13,133
110,142,123,2,majid-abad,4,133
190,53,48,3,shahrak-e-emamkhomeyni,18,130
275,604,535,3,gomrok,11,130
57,205,141,1,evin,1,86
936,107,92,1,nejatollahi,6,86
1002,444,399,2,hashemi,10,133
963,51,49,2,shahid-asadi,13,133
909,462,366,2,kuhak,22,133
1025,83,79,2,tehran-hosein-abad,4,133
43,85,74,1,kashanak,1,86
84,98,86,1,zargandeh,3,86
212,133,125,3,shahrak-e-shahid-mofateh,20,130
970,115,107,3,sarasiab-doolab,14,130
958,593,436,2,khaje-nezam-molk,7,133
119,332,262,2,haft-hoz,8,133
974,138,133,3,aref,14,130
187,82,82,3,shahrak-e-taleghani,18,130
201,166,141,1,tehranvila,2,86
232,90,85,3,mansouriyeh,20,130
990,65,58,2,etehad,4,133
962,72,69,2,dehqan,13,133
966,70,67,3,taxirani,14,130
203,308,243,1,tohid,2,86
116,271,234,2,elm-o-sanat,4,133
145,980,690,2,north-janat-abad,5,133
948,320,283,2,khak-sefid,4,133
1021,228,213,3,imamzadeh-hasan,17,130
157,134,108,2,sazman-ab,5,133
1016,188,172,3,tayeb,15,130
95,575,376,1,seyed-khandan,3,86
227,84,80,3,zahir-abad,20,130
268,104,97,3,zehtabi,17,130
925,125,118,1,aseman,2,86
912,95,67,2,fath,9,133
915,55,51,2,shamshiri,9,133
71,573,392,1,darrous,3,86
143,175,155,2,almahdi,5,133
161,363,262,2,dehkade-olympic,22,133
193,48,47,3,shaharak-e-moslemin,18,130
68,660,482,1,ekhtiyariyeh,3,86
1012,58,52,3,golchin,17,130
72,565,422,1,zafar,3,86
87,75,63,1,ararat,3,86
58,120,106,1,darakeh,1,86
255,295,256,3,khani-abad,12,130
221,287,258,3,shahr-e-rey,20,130
266,515,445,3,molavi,12,130
271,1,1,3,shahrak-e-amiralmomenin,14,130
997,110,103,3,kosar,12,130
920,840,622,2,bagh-feyz,5,133
968,130,119,3,shiva,14,130
63,85,71,1,chizar,1,86
158,946,649,2,sazamn-barnameh,5,133
933,37,32,1,jahad,6,86
959,380,265,2,tehran-police,7,133
51,158,119,1,shahrak-e-mahalati,1,86
56,1021,675,1,zafaraniyeh,1,86
178,2456,1567,2,tehransar,21,133
234,26,25,3,malek-abad,20,130
279,263,237,3,sanglaj,12,130
52,249,225,1,sohanak,1,86
146,1195,784,2,central-janat-abad,5,133
174,159,131,2,hasan-abad-shomali,5,133
946,80,76,2,sorkhe-hesar,13,133
170,2136,1185,2,kooy-e-ferdos,5,133
209,80,63,1,tehran-university,6,86
103,109,78,2,shian,4,133
236,102,91,3,shahrak-e-takhti,16,130
253,463,431,3,khazaneh,16,130
989,693,619,3,khani-abad-no,19,130
276,235,212,3,amir-bahador,11,130
139,1968,947,1,marzdaran,2,86
246,803,682,3,masoudieh,15,130
977,83,80,3,shahadat,20,130
1009,168,141,3,zamzam,17,130
907,321,281,2,abshar-tehran,22,133
88,702,372,1,gisha,2,86
208,221,177,1,bolvar-e-keshavarz,6,86
248,4,4,3,qasr-e-firooze-do,14,130
257,530,415,3,shaharak-e-shariyati,19,130
235,267,242,2,south-ali-abad,16,133
307,16,16,2,shahrak-e-ghazali,21,133
928,109,100,1,university-of-sharif,2,86
115,852,551,2,oghaf,4,133
153,296,241,2,kan,5,133
96,111,92,1,gandi,3,86
250,318,294,3,yakhchi-abad,16,130
929,95,82,1,darya,2,86
185,201,188,3,shahrak-e-ferdows,18,130
104,243,203,2,lavizan,4,133
219,38,37,3,karim-abad,20,130
944,7,7,2,kuy-nobonyad,4,133
978,75,65,3,safaiye,20,130
214,115,104,3,mobarak-abad-e-beheshti,20,130
1024,903,571,2,heravi,4,133
252,1000,812,3,nazi-abad,16,130
120,195,169,2,fadak,8,133
945,523,449,2,tehran-kerman,8,133
923,78,65,1,kuy-faraz,2,86
975,154,146,3,mina,14,130
128,178,167,2,kazem-abad,4,133
197,832,653,2,beryanak,10,133
911,21,21,2,shahrak-farhangian,21,133
85,1390,719,1,elahiyeh,1,86
106,463,426,2,shemiran-no,4,133
