district_id,week,Post_price,treatment_control_group,Groups,total_token,total_reorder
964,0,25,20,2,299,111
964,5,25,20,2,2,0
964,8,25,20,2,3,0
964,9,25,20,2,9,0
964,3,25,20,2,3,0
964,13,25,20,2,4,0
964,4,25,20,2,7,0
964,10,25,20,2,7,2
964,6,25,20,2,3,0
964,11,25,20,2,7,4
964,12,25,20,2,5,0
964,1,25,20,2,1,0
964,7,25,20,2,1,0
964,2,25,20,2,3,0
964,14,25,20,2,3,0
65,0,25,10,1,25637,22735
65,10,25,10,1,228,289
65,9,25,10,1,209,290
65,7,25,10,1,166,276
65,12,25,10,1,238,219
65,8,25,10,1,238,287
65,6,25,10,1,211,330
65,1,25,10,1,199,225
65,13,25,10,1,216,172
65,3,25,10,1,189,267
65,4,25,10,1,193,194
65,11,25,10,1,231,233
65,5,25,10,1,200,215
65,14,25,10,1,92,30
65,2,25,10,1,185,271
191,0,25,30,3,160,109
191,5,25,30,3,1,1
191,10,25,30,3,4,2
191,6,25,30,3,1,0
191,12,25,30,3,2,0
191,9,25,30,3,1,0
191,1,25,30,3,1,0
191,8,25,30,3,1,0
191,11,25,30,3,2,0
191,4,25,30,3,2,10
191,3,25,30,3,1,0
1010,2,25,30,3,2,3
1010,0,25,30,3,76,8
1010,14,25,30,3,3,0
1010,7,25,30,3,1,0
1010,11,25,30,3,1,1
1010,4,25,30,3,2,1
1010,1,25,30,3,2,0
1010,8,25,30,3,1,1
1010,5,25,30,3,1,0
1010,9,25,30,3,3,0
1010,12,25,30,3,1,0
1010,6,25,30,3,1,0
1010,13,25,30,3,1,0
418,0,25,0,,14632,13046
418,13,25,0,,149,56
418,6,25,0,,191,194
418,12,25,0,,206,115
418,9,25,0,,174,150
418,10,25,0,,240,189
418,5,25,0,,241,198
418,8,25,0,,211,205
418,3,25,0,,214,194
418,7,25,0,,148,113
418,2,25,0,,194,162
418,4,25,0,,211,249
418,14,25,0,,115,26
418,1,25,0,,200,224
418,11,25,0,,209,153
270,0,25,30,3,1085,453
270,11,25,30,3,15,7
270,3,25,30,3,11,5
270,8,25,30,3,14,5
270,2,25,30,3,16,15
270,5,25,30,3,14,3
270,1,25,30,3,13,9
270,4,25,30,3,11,7
270,7,25,30,3,6,3
270,10,25,30,3,14,9
270,9,25,30,3,5,1
270,14,25,30,3,8,0
270,13,25,30,3,11,0
270,6,25,30,3,17,9
270,12,25,30,3,9,1
293,0,25,30,3,2,0
293,6,25,30,3,1,0
938,0,25,10,1,4008,2569
938,9,25,10,1,49,27
938,3,25,10,1,33,44
938,2,25,10,1,31,20
938,10,25,10,1,43,58
938,12,25,10,1,42,31
938,4,25,10,1,46,60
938,5,25,10,1,37,24
938,13,25,10,1,33,9
938,14,25,10,1,17,5
938,8,25,10,1,35,21
938,1,25,10,1,25,19
938,11,25,10,1,36,48
938,7,25,10,1,17,12
938,6,25,10,1,59,82
