district_id,week_tir,treatment_control_group,mean_total_token,mean_total_phone,mean_reorder_payment_count,mean_token_phone,lag_mean_total_token,lag_mean_total_phone,lag_mean_reorder_payment_count,lag_mean_token_phone,lag2_mean_total_token,lag2_mean_total_phone,lag2_mean_reorder_payment_count,lag2_mean_token_phone,lag3_mean_total_token,lag3_mean_total_phone,lag3_mean_reorder_payment_count,lag3_mean_token_phone,lag4_mean_total_token,lag4_mean_total_phone,lag4_mean_reorder_payment_count,lag4_mean_token_phone,total_token_change_percent,total_phone_change_percent,token_phone_change_percent,reorder_payment_count_change_percent,total_token_change20_percent,total_phone_change20_percent,token_phone_change20_percent,reorder_payment_count_change20_percent,total_token_change30_percent,total_phone_change30_percent,token_phone_change30_percent,reorder_payment_count_change30_percent,total_token_change40_percent,total_phone_change40_percent,token_phone_change40_percent,reorder_payment_count_change40_percent,total_token_change_count,total_phone_change_count,token_phone_change_count,reorder_payment_count_change_count,total_token_change20_count,total_phone_change20_count,token_phone_change20_count,reorder_payment_count_change20_count,total_token_change30_count,total_phone_change30_count,token_phone_change30_count,reorder_payment_count_change30_count,total_token_change40_count,total_phone_change40_count,token_phone_change40_count,reorder_payment_count_change40_count,place4,place2,district,name,region
964,1,20,1,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,2,20,1,1,0,1,1,1,0,1,,,,,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,3,20,1,1,0,1,1,1,0,1,1,1,0,1,,,0,,,,0,,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,4,20,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,,0,,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,964,1,zahed-gilani,زاهد گیلانی,13
964,5,20,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
65,0,10,23.66666667,20.66666667,11,1.146969697,27.33333333,23,1.333333333,1.127314815,,,,,,,,,,,,,-13.41463415,-10.14492754,1.74351316,725,0,0,0,0,0,0,0,0,0,0,0,0,-3.666666667,-2.333333333,0.019654882,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,1,10,24,20.85714286,3.714285714,1.191061655,23.66666667,20.66666667,11,1.146969697,27.33333333,23,1.333333333,1.127314815,,,1.333333333,,,,1.333333333,,1.408450704,0.921658986,3.844213023,-66.23376623,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.19047619,0.044091958,-7.285714286,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,2,10,27.85714286,24.28571429,8,1.148484253,24,20.85714286,3.714285714,1.191061655,23.66666667,20.66666667,11,1.146969697,27.33333333,23,11,1.127314815,,,11,,16.07142857,16.43835616,-3.574743779,115.3846154,17.70623742,17.51152074,0.132048478,-27.27272727,0,0,0,0,0,0,0,0,3.857142857,3.428571429,-0.042577402,4.285714286,4.19047619,3.619047619,0.001514556,-3,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,3,10,30,27,4.857142857,1.11992288,27.85714286,24.28571429,8,1.148484253,24,20.85714286,3.714285714,1.191061655,23.66666667,20.66666667,3.714285714,1.146969697,27.33333333,23,3.714285714,1.127314815,7.692307692,11.17647059,-2.486875424,-39.28571429,0,0,0,0,26.76056338,30.64516129,-2.358110827,30.76923077,0,0,0,0,2.142857143,2.714285714,-0.028561373,-3.142857143,0,0,0,0,6.333333333,6.333333333,-0.027046817,1.142857143,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,4,10,38.28571429,33.42857143,1.857142857,1.229819729,30,27,4.857142857,1.11992288,27.85714286,24.28571429,8,1.148484253,24,20.85714286,8,1.191061655,23.66666667,20.66666667,8,1.146969697,27.61904762,23.80952381,9.812894312,-61.76470588,0,0,0,0,0,0,0,0,61.77062374,61.75115207,7.223384562,-76.78571429,8.285714286,6.428571429,0.109896849,-3,0,0,0,0,0,0,0,0,14.61904762,12.76190476,0.082850032,-6.142857143,65,1,qeytariyeh,قیطریه,1
