post_price_effect_share,post_price_effect_count,post_price_effect_percent,district_price_effect
-66.66666667,-0.666666667,-40,0
-20,-0.2,-16.66666667,0
-46.42857143,-2.785714286,-31.70731707,0
0,0,0,0
0,0,0,0
0,0,0,0
92.30769231,12,1200,0
-66.66666667,-0.666666667,-40,0
-50,-0.5,-33.33333333,0
6.666666667,0.2,7.142857143,0
-100,-1,-50,0
-33.33333333,-0.333333333,-25,0
25,0.5,33.33333333,0
-33.33333333,-0.666666667,-25,0
-50,-0.5,-33.33333333,0
50,1,100,0
-169.2307692,-1.692307692,-62.85714286,0
-16.66666667,-0.333333333,-14.28571429,0
40,0.8,66.66666667,0
-33.33333333,-0.333333333,-25,0
-58.24175824,-4.076923077,-36.80555556,0
0,0,0,0
-25,-0.25,-20,0
0,0,0,0
-8.333333333,-0.333333333,-7.692307692,0
0,0,0,0
37.5,0.75,60,0
-150,-1.5,-60,0
-112.5,-9,-52.94117647,0
-91.66666667,-1.833333333,-47.82608696,0
33.33333333,4,50,0
-66.66666667,-0.666666667,-40,0
0,0,0,0
15.625,0.625,18.51851852,0
50,1,100,0
-33.33333333,-1,-25,0
0,0,0,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
52.38095238,1.571428571,110,0
15.15151515,0.454545455,17.85714286,0
-8.333333333,-0.25,-7.692307692,0
-100,-1,-50,0
66.66666667,7.333333333,200,0
-23.07692308,-0.692307692,-18.75,0
0,0,0,0
-20,-0.2,-16.66666667,0
-20,-0.2,-16.66666667,0
66.66666667,4,200,0
46.66666667,2.8,87.5,0
16.92307692,0.846153846,20.37037037,0
-16.66666667,-0.5,-14.28571429,0
20,0.4,25,0
-353.8461538,-3.538461538,-77.96610169,0
-33.33333333,-0.333333333,-25,0
-100,-1,-50,0
59.375,2.375,146.1538462,0
0,0,0,0
-100,-1,-50,0
0,0,0,0
-200,-2,-66.66666667,0
0,0,0,0
0,0,0,0
-16.66666667,-0.166666667,-14.28571429,0
0,0,0,0
62.5,3.75,166.6666667,0
20,1,25,0
-50,-0.5,-33.33333333,0
-100,-1,-50,0
25,0.75,33.33333333,0
0,0,0,0
-170,-3.4,-62.96296296,0
0,0,0,0
3.333333333,0.166666667,3.448275862,0
-200,-2,-66.66666667,0
0,0,0,0
-42.85714286,-0.428571429,-30,0
50,1,100,0
62.5,5,166.6666667,0
-168.1818182,-3.363636364,-62.71186441,0
0,0,0,0
-50,-0.5,-33.33333333,0
0,0,0,0
-150,-1.5,-60,0
-133.3333333,-1.333333333,-57.14285714,0
23.33333333,0.7,30.43478261,0
42.85714286,1.714285714,75,0
-50,-0.5,-33.33333333,0
-87.5,-1.75,-46.66666667,0
-150,-1.5,-60,0
-414.2857143,-4.142857143,-80.55555556,0
-33.33333333,-0.333333333,-25,0
-50,-0.5,-33.33333333,0
70,4.9,233.3333333,0
50,1,100,0
0,0,0,0
-77.77777778,-0.777777778,-43.75,0
0,0,0,0
-26.66666667,-1.333333333,-21.05263158,0
-66.66666667,-1.333333333,-40,0
50,1,100,0
0,0,0,0
11.36363636,0.454545455,12.82051282,0
0,0,0,0
35.55555556,3.555555556,55.17241379,0
0,0,0,0
38.88888889,1.166666667,63.63636364,0
0,0,0,0
0,0,0,0
-33.33333333,-0.333333333,-25,0
3.03030303,0.181818182,3.125,0
59.09090909,3.545454545,144.4444444,0
57.14285714,4,133.3333333,0
0,0,0,0
50,1,100,0
10,0.5,11.11111111,0
28.57142857,0.571428571,40,0
-280,-2.8,-73.68421053,0
43.33333333,4.333333333,76.47058824,0
45.83333333,2.75,84.61538462,0
60,3,150,0
-50,-0.5,-33.33333333,0
-144.4444444,-1.444444444,-59.09090909,0
0,0,0,0
50,1,100,0
35.71428571,2.142857143,55.55555556,0
-100,-1,-50,0
-12.5,-0.25,-11.11111111,0
0,0,0,0
-8.333333333,-0.166666667,-7.692307692,0
0,0,0,0
0,0,0,0
25,0.75,33.33333333,0
-20.83333333,-0.833333333,-17.24137931,0
-6.666666667,-0.2,-6.25,0
14.28571429,0.285714286,16.66666667,0
-233.3333333,-2.333333333,-70,0
-109.0909091,-3.272727273,-52.17391304,0
-60,-0.6,-37.5,0
-66.66666667,-0.666666667,-40,0
-105,-2.1,-51.2195122,0
20,0.4,25,0
-31.25,-0.625,-23.80952381,0
-50,-1,-33.33333333,0
-50,-0.5,-33.33333333,0
-20,-0.2,-16.66666667,0
-53.06122449,-3.714285714,-34.66666667,0
11.11111111,0.333333333,12.5,0
-472.7272727,-4.727272727,-82.53968254,0
0,0,0,0
-40.90909091,-0.818181818,-29.03225806,0
-312.5,-3.125,-75.75757576,0
7.407407407,0.222222222,8,0
-100,-1,-50,0
-225,-2.25,-69.23076923,0
0,0,0,0
0,0,0,0
38,1.9,61.29032258,0
0,0,0,0
50,1,100,0
0,0,0,0
0,0,0,0
-100,-1,-50,0
70.83333333,2.833333333,242.8571429,0
-60,-0.6,-37.5,0
10,0.2,11.11111111,0
0,0,0,0
-300,-3,-75,0
41.66666667,1.25,71.42857143,0
50,1,100,0
66.66666667,6,200,0
-66.66666667,-0.666666667,-40,0
54.16666667,3.25,118.1818182,0
-75,-1.5,-42.85714286,0
9.523809524,0.857142857,10.52631579,0
-200,-2,-66.66666667,0
50,1,100,0
-66.66666667,-0.666666667,-40,0
-75,-0.75,-42.85714286,0
0,0,0,0
12.5,0.25,14.28571429,0
-25,-0.25,-20,0
0,0,0,0
-16.66666667,-0.166666667,-14.28571429,0
