district_id,week_tir,treatment_control_group,mean_total_token,mean_total_phone,mean_reorder_payment_count,mean_token_phone,lag_mean_total_token,lag_mean_total_phone,lag_mean_reorder_payment_count,lag_mean_token_phone,lag2_mean_total_token,lag2_mean_total_phone,lag2_mean_reorder_payment_count,lag2_mean_token_phone,lag3_mean_total_token,lag3_mean_total_phone,lag3_mean_reorder_payment_count,lag3_mean_token_phone,lag4_mean_total_token,lag4_mean_total_phone,lag4_mean_reorder_payment_count,lag4_mean_token_phone,total_token_change_percent,total_phone_change_percent,token_phone_change_percent,reorder_payment_count_change_percent,total_token_change20_percent,total_phone_change20_percent,token_phone_change20_percent,reorder_payment_count_change20_percent,total_token_change30_percent,total_phone_change30_percent,token_phone_change30_percent,reorder_payment_count_change30_percent,total_token_change40_percent,total_phone_change40_percent,token_phone_change40_percent,reorder_payment_count_change40_percent,total_token_change_count,total_phone_change_count,token_phone_change_count,reorder_payment_count_change_count,total_token_change20_count,total_phone_change20_count,token_phone_change20_count,reorder_payment_count_change20_count,total_token_change30_count,total_phone_change30_count,token_phone_change30_count,reorder_payment_count_change30_count,total_token_change40_count,total_phone_change40_count,token_phone_change40_count,reorder_payment_count_change40_count,place4,place2,district,name,region
964,1,20,1,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,2,20,1,1,0,1,1,1,0,1,,,,,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,3,20,1,1,0,1,1,1,0,1,1,1,0,1,,,0,,,,0,,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,4,20,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,,0,,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,964,1,zahed-gilani,زاهد گیلانی,13
964,5,20,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
65,0,10,24,21,11.33333333,1.143795094,31,25.66666667,1.333333333,1.140056022,,,,,,,,,,,,,-22.58064516,-18.18181818,0.327972601,750,0,0,0,0,0,0,0,0,0,0,0,0,-7,-4.666666667,0.003739071,10,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,1,10,24.28571429,21,3.714285714,1.196662171,24,21,11.33333333,1.143795094,31,25.66666667,1.333333333,1.140056022,,,1.333333333,,,,1.333333333,,1.19047619,0,4.622075929,-67.22689076,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.052867078,-7.619047619,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,2,10,27.71428571,24.14285714,8,1.150572808,24.28571429,21,3.714285714,1.196662171,24,21,11.33333333,1.143795094,31,25.66666667,11.33333333,1.140056022,,,11.33333333,,14.11764706,14.96598639,-3.851493335,115.3846154,15.47619048,14.96598639,0.592563647,-29.41176471,0,0,0,0,0,0,0,0,3.428571429,3.142857143,-0.046089364,4.285714286,3.714285714,3.142857143,0.006777714,-3.333333333,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,3,10,30,27,4.857142857,1.11992288,27.71428571,24.14285714,8,1.150572808,24.28571429,21,3.714285714,1.196662171,24,21,3.714285714,1.143795094,31,25.66666667,3.714285714,1.140056022,8.24742268,11.83431953,-2.663884211,-39.28571429,0,0,0,0,25,28.57142857,-2.087105773,30.76923077,0,0,0,0,2.285714286,2.857142857,-0.030649927,-3.142857143,0,0,0,0,6,6,-0.023872213,1.142857143,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,4,10,38.42857143,33.57142857,1.857142857,1.229447323,30,27,4.857142857,1.11992288,27.71428571,24.14285714,8,1.150572808,24.28571429,21,8,1.196662171,24,21,8,1.143795094,28.0952381,24.33862434,9.779641449,-61.76470588,0,0,0,0,0,0,0,0,60.11904762,59.86394558,7.488424216,-76.78571429,8.428571429,6.571428571,0.109524442,-3,0,0,0,0,0,0,0,0,14.42857143,12.57142857,0.085652229,-6.142857143,65,1,qeytariyeh,قیطریه,1
