district_id,week_tir,treatment_control_group,mean_total_token,mean_total_phone,mean_reorder_payment_count,mean_token_phone,lag_mean_total_token,lag_mean_total_phone,lag_mean_reorder_payment_count,lag_mean_token_phone,lag2_mean_total_token,lag2_mean_total_phone,lag2_mean_reorder_payment_count,lag2_mean_token_phone,lag3_mean_total_token,lag3_mean_total_phone,lag3_mean_reorder_payment_count,lag3_mean_token_phone,lag4_mean_total_token,lag4_mean_total_phone,lag4_mean_reorder_payment_count,lag4_mean_token_phone,total_token_change_percent,total_phone_change_percent,token_phone_change_percent,reorder_payment_count_change_percent,total_token_change20_percent,total_phone_change20_percent,token_phone_change20_percent,reorder_payment_count_change20_percent,total_token_change30_percent,total_phone_change30_percent,token_phone_change30_percent,reorder_payment_count_change30_percent,total_token_change40_percent,total_phone_change40_percent,token_phone_change40_percent,reorder_payment_count_change40_percent,total_token_change_count,total_phone_change_count,token_phone_change_count,reorder_payment_count_change_count,total_token_change20_count,total_phone_change20_count,token_phone_change20_count,reorder_payment_count_change20_count,total_token_change30_count,total_phone_change30_count,token_phone_change30_count,reorder_payment_count_change30_count,total_token_change40_count,total_phone_change40_count,token_phone_change40_count,reorder_payment_count_change40_count,place4,place2,district,name,region
964,0,20,4.666666667,4.333333333,0,1.083333333,4.5,4.5,0,1,,,,,,,,,,,,,3.703703704,-3.703703704,8.333333333,,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,-0.166666667,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,1,20,5.857142857,5.714285714,1,1.035714286,4.666666667,4.333333333,0,1.083333333,4.5,4.5,0,1,,,,,,,,,25.51020408,31.86813187,-4.395604396,,0,0,0,0,0,0,0,0,0,0,0,0,1.19047619,1.380952381,-0.047619048,1,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,2,20,4,3.714285714,1.285714286,1.057142857,5.857142857,5.714285714,1,1.035714286,4.666666667,4.333333333,0,1.083333333,4.5,4.5,0,1,,,,,-31.70731707,-35,2.068965517,28.57142857,-14.28571429,-14.28571429,-2.417582418,,0,0,0,0,0,0,0,0,-1.857142857,-2,0.021428571,0.285714286,-0.666666667,-0.619047619,-0.026190476,1.285714286,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,3,20,5.571428571,5.571428571,0.428571429,1,4,3.714285714,1.285714286,1.057142857,5.857142857,5.714285714,1,1.035714286,4.666666667,4.333333333,0,1.083333333,4.5,4.5,0,1,39.28571429,50,-5.405405405,-66.66666667,0,0,0,0,19.3877551,28.57142857,-7.692307692,,0,0,0,0,1.571428571,1.857142857,-0.057142857,-0.857142857,0,0,0,0,0.904761905,1.238095238,-0.083333333,0.428571429,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
964,4,20,4.5,4.5,0.666666667,1,5.571428571,5.571428571,0.428571429,1,4,3.714285714,1.285714286,1.057142857,5.857142857,5.714285714,1,1.035714286,4.666666667,4.333333333,0,1.083333333,-19.23076923,-19.23076923,0,55.55555556,0,0,0,0,0,0,0,0,-3.571428571,3.846153846,-7.692307692,,-1.071428571,-1.071428571,0,0.238095238,0,0,0,0,0,0,0,0,-0.166666667,0.166666667,-0.083333333,0.666666667,964,1,zahed-gilani,زاهد گیلانی,13
964,5,20,3.571428571,3.428571429,0,1.020408163,4.5,4.5,0.666666667,1,5.571428571,5.571428571,0.428571429,1,4,3.714285714,1.285714286,1.057142857,5.857142857,5.714285714,1,1.035714286,-20.63492063,-23.80952381,2.040816327,-100,0,0,0,0,0,0,0,0,0,0,0,0,-0.928571429,-1.071428571,0.020408163,-0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,964,1,zahed-gilani,زاهد گیلانی,13
65,0,10,292.3333333,257.3333333,106,1.1353701,166,146.6666667,8,1.088272945,,,,,,,,,,,,,76.10441767,75.45454545,4.327696987,1225,0,0,0,0,0,0,0,0,0,0,0,0,126.3333333,110.6666667,0.047097155,98,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,1,10,251.7142857,221.1428571,88.42857143,1.15349647,292.3333333,257.3333333,106,1.1353701,166,146.6666667,8,1.088272945,,,,,,,,,-13.89477114,-14.06365655,1.596516415,-16.57681941,0,0,0,0,0,0,0,0,0,0,0,0,-40.61904762,-36.19047619,0.01812637,-17.57142857,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,2,10,258.8571429,228.8571429,88.71428571,1.137825756,251.7142857,221.1428571,88.42857143,1.15349647,292.3333333,257.3333333,106,1.1353701,166,146.6666667,8,1.088272945,,,,,2.837684449,3.488372093,-1.358540269,0.323101777,-11.45137645,-11.06587713,0.216286828,-16.30727763,0,0,0,0,0,0,0,0,7.142857143,7.714285714,-0.015670714,0.285714286,-33.47619048,-28.47619048,0.002455656,-17.28571429,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
65,3,10,238.8571429,213.7142857,62.71428571,1.124156244,258.8571429,228.8571429,88.71428571,1.137825756,251.7142857,221.1428571,88.42857143,1.15349647,292.3333333,257.3333333,106,1.1353701,166,146.6666667,8,1.088272945,-7.726269316,-6.616729089,-1.201371317,-29.30756844,0,0,0,0,-18.29288158,-16.95040711,-0.987682897,-40.83557951,0,0,0,0,-20,-15.14285714,-0.013669512,-26,0,0,0,0,-53.47619048,-43.61904762,-0.011213856,-43.28571429,0,0,0,0,65,1,qeytariyeh,قیطریه,1
