business_type,district_id,week_tir,treatment_control_group,mean_total_token,mean_total_phone,mean_reorder_payment_count,mean_token_phone,lag_mean_total_token,lag_mean_total_phone,lag_mean_reorder_payment_count,lag_mean_token_phone,total_token_change,total_phone_change,token_phone_change,reorder_payment_count_change,place4,place2,district,name,region
3,964,0,20,2.333,2.333,0.000,1.000,5.500,5.500,0.000,1.000,-57.576,-57.576,0.000,,964,1,zahed-gilani,زاهد گیلانی,13
1,964,0,20,1.000,1.000,0.000,1.000,2.333,2.333,0.000,1.000,-57.143,-57.143,0.000,,964,1,zahed-gilani,زاهد گیلانی,13
2,964,0,20,2.000,1.500,0.000,1.500,1.000,1.000,0.000,1.000,100.000,50.000,50.000,,964,1,zahed-gilani,زاهد گیلانی,13
3,964,1,20,4.286,4.286,0.143,1.000,2.000,1.500,0.000,1.500,114.286,185.714,-33.333,,964,1,zahed-gilani,زاهد گیلانی,13
2,964,1,20,1.800,1.600,0.800,1.200,4.286,4.286,0.143,1.000,-58.000,-62.667,20.000,460.000,964,1,zahed-gilani,زاهد گیلانی,13
1,964,1,20,1.000,1.000,0.000,1.000,1.800,1.600,0.800,1.200,-44.444,-37.500,-16.667,-100.000,964,1,zahed-gilani,زاهد گیلانی,13
3,964,2,20,2.714,2.714,0.286,1.000,1.000,1.000,0.000,1.000,171.429,171.429,0.000,,964,1,zahed-gilani,زاهد گیلانی,13
1,964,2,20,2.000,1.000,0.000,2.000,2.714,2.714,0.286,1.000,-26.316,-63.158,100.000,-100.000,964,1,zahed-gilani,زاهد گیلانی,13
2,964,2,20,1.500,1.500,0.500,1.000,2.000,1.000,0.000,2.000,-25.000,50.000,-50.000,,964,1,zahed-gilani,زاهد گیلانی,13
3,65,0,10,17.000,17.000,7.667,1.000,53.000,50.500,14.500,1.046,-67.925,-66.337,-4.380,-47.126,65,1,qeytariyeh,قیطریه,1
1,65,0,10,204.333,174.000,6.333,1.173,17.000,17.000,7.667,1.000,1101.961,923.529,17.311,-17.391,65,1,qeytariyeh,قیطریه,1
2,65,0,10,71.333,67.000,75.333,1.065,204.333,174.000,6.333,1.173,-65.090,-61.494,-9.196,1089.474,65,1,qeytariyeh,قیطریه,1
3,65,1,10,15.000,14.714,4.286,1.016,71.333,67.000,75.333,1.065,-78.972,-78.038,-4.591,-94.311,65,1,qeytariyeh,قیطریه,1
1,65,1,10,181.000,155.429,15.571,1.188,15.000,14.714,4.286,1.016,1106.667,956.311,16.923,263.333,65,1,qeytariyeh,قیطریه,1
2,65,1,10,55.714,51.429,46.429,1.085,181.000,155.429,15.571,1.188,-69.219,-66.912,-8.699,198.165,65,1,qeytariyeh,قیطریه,1
3,65,2,10,16.286,16.000,3.000,1.023,55.714,51.429,46.429,1.085,-70.769,-68.889,-5.755,-93.538,65,1,qeytariyeh,قیطریه,1
1,65,2,10,191.000,165.286,8.286,1.165,16.286,16.000,3.000,1.023,1072.807,933.036,13.963,176.190,65,1,qeytariyeh,قیطریه,1
2,65,2,10,52.429,48.571,36.857,1.084,191.000,165.286,8.286,1.165,-72.550,-70.614,-6.933,344.828,65,1,qeytariyeh,قیطریه,1
2,191,0,30,1.000,1.000,0.000,1.000,1.667,1.667,0.000,1.000,-40.000,-40.000,0.000,,191,1,ebrahim-abad,ابراهیم‌آباد,18
3,191,0,30,2.000,2.000,0.000,1.000,1.000,1.000,0.000,1.000,100.000,100.000,0.000,,191,1,ebrahim-abad,ابراهیم‌آباد,18
3,191,1,30,4.429,4.429,0.143,1.000,2.000,2.000,0.000,1.000,121.429,121.429,0.000,,191,1,ebrahim-abad,ابراهیم‌آباد,18
1,191,1,30,1.500,1.000,0.000,1.500,4.429,4.429,0.143,1.000,-66.129,-77.419,50.000,-100.000,191,1,ebrahim-abad,ابراهیم‌آباد,18
2,191,1,30,1.000,1.000,0.000,1.000,1.500,1.000,0.000,1.500,-33.333,0.000,-33.333,,191,1,ebrahim-abad,ابراهیم‌آباد,18
3,191,2,30,3.714,3.714,0.000,1.000,1.000,1.000,0.000,1.000,271.429,271.429,0.000,,191,1,ebrahim-abad,ابراهیم‌آباد,18
2,191,2,30,1.000,1.000,0.000,1.000,3.714,3.714,0.000,1.000,-73.077,-73.077,0.000,,191,1,ebrahim-abad,ابراهیم‌آباد,18
1,418,0,,10.667,9.333,1.333,1.144,9.500,9.000,0.000,1.056,12.281,3.704,8.421,,418,1,roodehen,رودهن,
3,418,0,,49.333,48.667,28.667,1.013,10.667,9.333,1.333,1.144,362.500,421.429,-11.509,2050.000,418,1,roodehen,رودهن,
2,418,0,,38.667,33.333,29.667,1.158,49.333,48.667,28.667,1.013,-21.622,-31.507,14.333,3.488,418,1,roodehen,رودهن,
2,418,1,,37.571,31.857,18.571,1.179,38.667,33.333,29.667,1.158,-2.833,-4.429,1.804,-37.400,418,1,roodehen,رودهن,
1,418,1,,8.714,7.286,1.143,1.183,37.571,31.857,18.571,1.179,-76.806,-77.130,0.343,-93.846,418,1,roodehen,رودهن,
3,418,1,,67.286,64.143,15.286,1.052,8.714,7.286,1.143,1.183,672.131,780.392,-11.095,1237.500,418,1,roodehen,رودهن,
3,418,2,,64.857,63.429,9.000,1.022,67.286,64.143,15.286,1.052,-3.609,-1.114,-2.802,-41.121,418,1,roodehen,رودهن,
1,418,2,,11.143,8.714,2.429,1.255,64.857,63.429,9.000,1.022,-82.819,-86.261,22.777,-73.016,418,1,roodehen,رودهن,
2,418,2,,34.571,29.429,8.857,1.169,11.143,8.714,2.429,1.255,210.256,237.705,-6.886,264.706,418,1,roodehen,رودهن,
